date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
06:12:50	82/82	---M--	302	error ('Found')	text/plain	date:Wed,%2008%20Feb%202023%2023:12:52%20GMT	https://foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/10-150x150.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https_/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/10-150x150.jpg	(from https://foxiz.themeruby.com/tech/)
06:12:51	5300/5300	---M--	200	added ('OK')	image/jpeg	etag:%2261b0b4d0-1722%22	https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/10-150x150.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/10-150x150.jpg	(from https://foxiz.themeruby.com/tech/)
06:12:51	81/81	---M--	302	error ('Found')	text/plain	date:Wed,%2008%20Feb%202023%2023:12:53%20GMT	https://foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/sponsor-4.png	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https_/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/sponsor-4.png	(from https://foxiz.themeruby.com/tech/)
06:12:51	589773/589773	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:33%20GMT	https://foxiz.themeruby.com/tech/part-time-trading-on-forex-as-an-alternative-income/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/part-time-trading-on-forex-as-an-alternative-income/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:52	2507/2507	---M--	200	added ('OK')	image/png	etag:%2261eacd8a-ed7%22	https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/sponsor-4.png	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/sponsor-4.png	(from https://foxiz.themeruby.com/tech/)
06:12:52	87/87	---M--	302	error ('Found')	text/plain	date:Wed,%2008%20Feb%202023%2023:12:54%20GMT	https://foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/sponsor-light-4.png	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https_/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/sponsor-light-4.png	(from https://foxiz.themeruby.com/tech/)
06:12:52	589413/589413	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:40%20GMT	https://foxiz.themeruby.com/tech/top-10-best-portable-bluetooth-speakers-for-summer-fun/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/top-10-best-portable-bluetooth-speakers-for-summer-fun/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:52	590570/590570	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:08%20GMT	https://foxiz.themeruby.com/tech/apple-jul-announcement-what-a-refresh-for-macbook/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/apple-jul-announcement-what-a-refresh-for-macbook/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:52	2470/2470	---M--	200	added ('OK')	image/png	etag:%2261eacd99-ef4%22	https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/sponsor-light-4.png	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/sponsor-light-4.png	(from https://foxiz.themeruby.com/tech/)
06:12:52	83/83	---M--	302	error ('Found')	text/plain	date:Wed,%2008%20Feb%202023%2023:12:55%20GMT	https://foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t40-330x220.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https_/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t40-330x220.jpg	(from https://foxiz.themeruby.com/tech/)
06:12:53	3946/3946	---M--	200	added ('OK')	image/jpeg	etag:%2261c33c15-1305%22	https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t40-330x220.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t40-330x220.jpg	(from https://foxiz.themeruby.com/tech/)
06:12:53	589602/589602	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:06%20GMT	https://foxiz.themeruby.com/tech/advantages-and-disadvantages-of-having-smartphone/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/advantages-and-disadvantages-of-having-smartphone/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:53	83/83	---M--	302	error ('Found')	text/plain	date:Wed,%2008%20Feb%202023%2023:12:55%20GMT	https://foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t41-330x220.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https_/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t41-330x220.jpg	(from https://foxiz.themeruby.com/tech/)
06:12:54	707434/707434	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:18%20GMT	https://foxiz.themeruby.com/tech/category/gadget/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/category/gadget/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:54	599799/599799	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:15%20GMT	https://foxiz.themeruby.com/tech/best-fujifilm-cameras-for-every-photographer/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/best-fujifilm-cameras-for-every-photographer/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:54	7497/7497	---M--	200	added ('OK')	image/jpeg	etag:%2261c33d11-2035%22	https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t41-330x220.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t41-330x220.jpg	(from https://foxiz.themeruby.com/tech/)
06:12:54	83/83	---M--	302	error ('Found')	text/plain	date:Wed,%2008%20Feb%202023%2023:12:56%20GMT	https://foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t17-330x220.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/cdn-cgi/mirage/c05ddf21927e8f4bb88fa877c55c06d696a27b175eb05908996229e37a7dec9b/1440/https_/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t17-330x220.jpg	(from https://foxiz.themeruby.com/tech/)
06:12:55	601405/601405	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:15%20GMT	https://foxiz.themeruby.com/tech/canon-eos-5d-mark-iv-full-frame-digital-slr-camera/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/canon-eos-5d-mark-iv-full-frame-digital-slr-camera/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:55	590262/590262	---MCZ	200	added ('OK')	text/html	date:Mon,%2006%20Feb%202023%2012:55:34%20GMT	https://foxiz.themeruby.com/tech/seeking-suggestions-regarding-headsets-for-conference-interpreters/	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/seeking-suggestions-regarding-headsets-for-conference-interpreters/index.html	(from https://foxiz.themeruby.com/tech/)
06:12:55	6662/6662	---M--	200	added ('OK')	image/jpeg	etag:%2261b177ee-1d6c%22	https://foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t17-330x220.jpg	D:/ATN%20Group/berita_admin3/foxiz.themeruby.com/tech/wp-content/uploads/sites/3/2021/12/t17-330x220.jpg	(from https://foxiz.themeruby.com/tech/)
